ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
164	180	CALL BY NAME	us-taiknjan	bezeichnen;  auszeichnen;  erweisen	bezeichnen	bezeichnen-2
165	2986	CAMPFIRE				
166	1288	CAP				
167	700	CARRY	bairan	tragen 	tragen 	tragen-1
168	700	CARRY	†dragan	tragen	tragen	tragen-2
169	1208	CAT				
170	702	CATCH	fāhan	fangen;  greifen	fangen	fangen-1
171	702	CATCH	niman	 fangen; nehmen;  annehmen;  aufnehmen;  empfangen	 fangen	fangen-2
172	2896	CAUSE TO (LET)	leitan	lassen	lassen	lassen-1
173	2896	CAUSE TO (LET)	letan	lassen	lassen	lassen-2
174	2896	CAUSE TO (LET)	fra-letan	 vergeben; lassen;  entlassen;  frei lassen;  unterlassen;  zulassen;  erlauben;  erlassen;  herablassen	lassen	lassen-3
175	1155	CAVE	filegri	Höhle	Höhle	Hohle-1
176	1155	CAVE	filigri*	Höhle	Höhle	Hohle-2
177	1155	CAVE	groba	Grube;  Höhle	 Höhle	Hohle-3
178	1155	CAVE	hulundi	Höhle	Höhle	Hohle-4
179	1928	CEASE	ƕeilan	aufhören	aufhören	aufhoren-1
180	1928	CEASE	†ga-nanþjan	aufhören	aufhören	aufhoren-3
181	1476	CHAIR	stols	Stuhl;  Thron	Stuhl	Stuhl-1
182	1264	CHANGE				
183	2857	CHANGE (BECOME DIFFERENT)				
184	1024	CHARACTER	boka	Buchstabe	Buchstabe	Buchstabe-1
185	2903	CHAT (WITH SOMEBODY)				
186	1887	CHEAP				
187	1730	CHEEK	kinnus	Wange	Wange	Wange-1
188	1592	CHEST	brusts	Brust	Brust	Brust-1
189	1318	CHICKEN				
190	1304	CHILD (YOUNG HUMAN)				
191	2897	CHIME (ACTION)				
192	1510	CHIN				
193	1750	CHOOSE	waljan	wählen	wählen	wahlen-1
194	2149	CHOP (INTO PIECES)				
195	1349	CHURCH	aikklesjo	Gemeinde;  Kirche;  Gotteshaus	 Kirche	Kirche-1
196	1467	CIRCLE				
197	72	CLAW				
198	1399	CLAY	þāho	Lehm	Lehm	Lehm-1
199	704	CLEAN				
200	2235	CLEAN (SOMETHING)	hrainjan	reinigen	reinigen	reinigen-1
201	2235	CLEAN (SOMETHING)	ga-hrainjan	reinigen	reinigen	reinigen-2
202	1310	CLEVER	froþs	 verständig; klug	klug	klug-1
203	1310	CLEVER	handugs	 klug; weise	 klug	klug-2
204	1102	CLIMB				
205	589	CLOSED				
206	1616	CLOTH				
207	1895	CLOTHES	gafeteins	Kleidung	Kleidung	Kleidung-1
208	1489	CLOUD	milhma	Wolke	Wolke	Wolke-1
209	2658	COAL	hauri	Kohle	Kohle	Kohle-1
210	1525	COAST				
211	1287	COLD	kalds	kalt	kalt	kalt-1
212	2932	COLD (CHILL)				
213	2483	COLD (OF WEATHER)				
214	2012	COLLAR				
215	2997	COLORFUL				
216	1475	COMB				
217	2070	COMB (VERB)				
218	1446	COME	ana-gaggan	kommen	kommen	kommen-1
219	1446	COME	at-gaggan	 kommen; hinzugehen	 kommen	kommen-2
220	1446	COME	ga-leiþan	kommen;  gehn	kommen	kommen-3
221	1446	COME	qiman	kommen	kommen	kommen-4
222	1446	COME	ga-sniumjan	 kommen; hineilen	 kommen	kommen-5
223	1446	COME	qums	 Gegenwart; das Kommen;  Ankunft;  Wiederkunft Christi	das Kommen	dasKommen-1
224	581	COME BACK				
225	3455	COMMEND	hazjan	loben;  preisen wegen	loben	loben-1
226	2983	COMPANIONSHIP				
227	2862	CONNECT	ga-gáhaftjan	zusammenheften;  verbinden	 verbinden	verbinden-1
228	2862	CONNECT	faur-waipjan	verbinden	verbinden	verbinden-2
229	2862	CONNECT	ga-widan	 verbinden; zusammenbinden	 verbinden	verbinden-3
230	2933	CONVERSATION	gawaurdi	Gespräch	Gespräch	Gesprach-1
231	2898	CONVEY (A MESSAGE)	dailjan	teilen;  zuteilen;  mitteilen	 mitteilen	mitteilen-1
232	1100	COOK (SOMETHING)	ga-fahrjan	zubereiten	zubereiten	zubereiten-1
233	192	CORNER	waihsta	Winkel;  Ecke	 Ecke	Ecke-1
234	1725	CORRECT (RIGHT)	raihtaba	recht;  richtig	 richtig	richtig-1
235	879	COUGH				
236	1420	COUNT	ga-raþjan	zählen	zählen	zahlen-1
237	2945	COUNT (QUANTITY)				
238	1300	COUNTRY	airþa	Erde;  Land	 Land	Land-1
239	1300	COUNTRY	land	Land;  Gegend	Land	Land-2
240	761	COVER				
241	1007	COW				
242	2946	CRADLE				
243	1830	CRANE				
244	3215	CREEP	sliupan	schleichen;  schlüpfen	schleichen	schleichen-1
245	1367	CROSS	galga	Pfahl;  Kreuz	 Kreuz	Kreuz-1
246	913	CROW				
247	1839	CRY	gretan	 klagen; weinen	weinen	weinen-1
248	1839	CRY	qainon	weinen;  trauern	weinen	weinen-2
249	1839	CRY	tagrjan	weinen	weinen	weinen-3
250	1839	CRY	grets	das Weinen	das Weinen	dasWeinen-1
251	2934	CUCKOO				
252	476	CUP	stikls	Becher;  Kelch	Becher	Becher-1
253	2935	CURRENT (STREAM)				
254	1432	CUT	sneiþan	schneiden;  ernten	schneiden	schneiden-1
255	1116	DAMAGE	ga-sleiþjan	beschädigen	beschädigen	beschadigen-1
256	2947	DAMAGE (INJURY)	skaþis	Schaden;  Unrecht	Schaden	Schaden-1
257	2947	DAMAGE (INJURY)	sleiþa	Schaden	Schaden	Schaden-2
258	2947	DAMAGE (INJURY)	skaþjan	schaden	schaden	schaden-1
259	2998	DAMP				
260	1879	DANCE	plinsjan	tanzen	tanzen	tanzen-1
261	706	DARK				
262	2863	DASH (OF VEHICLE)				
263	1357	DAUGHTER	dauhtar	Tochter	Tochter	Tochter-1
264	1225	DAY (NOT NIGHT)	dags	Tag	Tag	Tag-1
265	996	DEAF	daufs	taub;  verstockt	taub	taub-1
266	2470	DEAR	liufs*	lieb	lieb	lieb-1
267	910	DEATH	dauþus	Tod	Tod	Tod-1
268	3230	DECEIVE				
269	2855	DECEMBER				
270	1739	DECORATE	fetjan	schmücken	schmücken	schmucken-1
271	2864	DECREASE	minznan	abnehmen	abnehmen	abnehmen-1
272	2864	DECREASE	af-niman	 wegnehmen; abnehmen	abnehmen	abnehmen-2
273	1330	DEFEND	warjan	wehren	wehren	wehren-1
274	3231	DEITY	guþ	Gott	Gott	Gott-1
275	2239	DENSE				
276	681	DESTROY	brikan	brechen;  zerstören	 zerstören	zerstoren-1
277	681	DESTROY	ga-tairan	 zerstören;  aufheben; zerreißen	 zerstören	zerstoren-2
278	1824	DEXTEROUS	fagrs*	geschickt;  geeignet	geschickt	geschickt-1
279	1494	DIE	ga-dauþnan	sterben	sterben	sterben-1
280	1494	DIE	diwan	sterben	sterben	sterben-2
281	1494	DIE	ga-swiltan	sterben	sterben	sterben-3
282	2865	DIE (FROM ACCIDENT)	fra-qistnan	umkommen;  zugrunde gehn	umkommen	umkommen-1
283	2504	DIFFERENT	aljaleiko	anders	anders	anders-1
284	2504	DIFFERENT	aljaleikos	anders	anders	anders-2
285	2504	DIFFERENT	andizuh	anders;  sonst	anders	anders-3
286	2504	DIFFERENT	anþarleiko	anders	anders	anders-4
287	2504	DIFFERENT	missaleiks	verschieden	verschieden	verschieden-1
288	1418	DIG	graba	Graben	Graben	Graben-1
289	1418	DIG	graban	graben	graben	graben-1
290	2077	DILIGENT				
291	25	DIRT				
292	1230	DIRTY				
293	485	DISAPPEAR				
294	1986	DISEASE	sauhts*	Krankheit	Krankheit	Krankheit-1
295	1986	DISEASE	siukei	Krankheit	Krankheit	Krankheit-2
296	1986	DISEASE	unhaili	 Krankheit; Schwäche	 Krankheit	Krankheit-3
297	1986	DISEASE	unmahts	 Krankheit;  Schwäche; Ohnmacht	 Krankheit	Krankheit-4
298	481	DISH				
299	2978	DISTANCE				
300	2883	DISTURB				
301	119	DIVE				
302	1119	DIVIDE	dailjan	teilen;  zuteilen;  mitteilen	teilen	teilen-1
303	813	DO	taujan	tun;  machen	tun	tun-1
304	813	DO	waurstwei	das Tun	das Tun	dasTun-1
305	2009	DOG	hunds	Hund	Hund	Hund-1
306	1659	DOLL				
307	196	DONATE	fra-giban	vergeben;  verleihn;  schenken	 schenken	schenken-1
308	1567	DOOR	daurons	 Tor;  Tür	 Tür	Tur-1
309	1567	DOOR	haurds	 Tür	 Tür	Tur-2
310	1326	DOWN	dalaþ	zu Tal;  abwärts;  nieder;  auf die Erde	 abwärts	abwarts-1
311	2030	DRAG				
312	93	DRAW MILK				
313	2374	DREAM				
314	814	DRESS UP				
315	1401	DRINK	ga-drigkan	trinken	trinken	trinken-1
316	741	DRIVE	farjan	fahren	fahren	fahren-1
317	2868	DRIVE (CATTLE)	draibjan	treiben;  plagen	treiben	treiben-1
318	2868	DRIVE (CATTLE)	dreiban	treiben	treiben	treiben-2
319	3748	DROP (OF A LIQUID)				
320	2866	DROP (SOMETHING)				
321	1398	DRY				
322	1786	DRY UP				
323	1360	DUCK				
324	2	DUST	mulda	Staub	Staub	Staub-1
325	2	DUST	stubjus	Staub	Staub	Staub-2
326	363	DWELL (LIVE, RESIDE)	bauan	wohnen;  bewohnen	wohnen	wohnen-1
327	363	DWELL (LIVE, RESIDE)	wisan	 bleiben; sein; sich freuen;  dasein;  existieren;  schwelgen;  schmausen; weilen	weilen	weilen-1
328	157	DYE				
329	1905	EAGLE				
330	1247	EAR	auso	Ohr	Ohr	Ohr-1
331	1228	EARTH (SOIL)	airþa	Erde;  Land	Erde	Erde-1
332	1877	EAST				
333	1336	EAT	itan	essen	essen	essen-1
334	1336	EAT	matjan	essen	essen	essen-2
335	1336	EAT	ga-matjan	essen	essen	essen-3
336	863	EDGE				
337	744	EGG				
338	1705	EIGHT	ahtau	acht	acht	acht-1
339	1722	EIGHTY	ahtautehund	achtzig	achtzig	achtzig-1
340	981	ELBOW				
341	2936	ELEVATION				
342	1706	ELEVEN	ainlif*	elf	elf	elf-1
343	1772	ELK				
344	1076	EMERGE (APPEAR)				
345	1624	EMPTY	halks	 umsonst; leer;  dürftig;  armselig	leer	leer-1
346	1624	EMPTY	laus	 leer; los	 leer	leer-2
347	742	END (OF SPACE)				
348	743	END (OF TIME)	andeis	Ende	Ende	Ende-1
349	743	END (OF TIME)	ustauhts	 Ende;  Erfüllung; Vollendung;  Vervollkommnung	 Ende	Ende-2
350	833	ENDURE	us-bairan	hinaustragen;  hervorbringen;  vorbringen d.i. antworten;  ertragen	 ertragen	ertragen-1
351	833	ENDURE	ga-beidan	 ertragen; ausharren	 ertragen	ertragen-2
352	833	ENDURE	us-þulan	 ertragen; erdulden	 ertragen	ertragen-3
353	1358	ENEMY	fijands	Feind	Feind	Feind-1
354	749	ENTER				
355	1615	ESCAPE				
356	1629	EVENING	andanahti	Abend	Abend	Abend-1
357	2999	EVERYWHERE				
358	45	EVIL	ubils	übel;  böse	 böse	bose-1
359	45	EVIL	unsels	übel;  böse	 böse	bose-2
360	45	EVIL	unþiuþ	das Böse	das Böse	dasBose-1
361	1426	EXPENSIVE				
362	1248	EYE	augo	Auge	Auge	Auge-1
363	1560	FACE	andaugi	Antlitz	Antlitz	Antlitz-1
364	1560	FACE	siuns	 Gestalt; Gesicht;  Gesicht;  das Sehen;  Sehkraft;  sinnfällige Erscheinung;  Augenschein;  Vision	Gesicht	Gesicht-1
365	1560	FACE	siuns	 Gestalt; Gesicht;  Gesicht;  das Sehen;  Sehkraft;  sinnfällige Erscheinung;  Augenschein;  Vision	 Gesicht	Gesicht-2
366	2937	FAIRY TALE				
367	1280	FALL	driusan	fallen	fallen	fallen-1
368	1106	FALL ASLEEP				
369	3005	FAMILIAR	kunþs	kund;  bekannt	 bekannt	bekannt-1
370	3005	FAMILIAR	swikunþs	 offenbar;  bekannt; offenkundig	 bekannt	bekannt-2
371	3005	FAMILIAR	uskunþs	 offenbar; bekannt	bekannt	bekannt-3
372	194	FAMILY	gards	Haus;  Hauswesen;  Familie	 Familie	Familie-1
373	1406	FAR	fairra	fern	fern	fern-1
374	1279	FAT (OBESE)				
375	323	FAT (ORGANIC SUBSTANCE)	smairþr*	Fett	Fett	Fett-1
376	1217	FATHER	abba	Vater	Vater	Vater-1
377	1217	FATHER	atta	Vater	Vater	Vater-2
378	1217	FATHER	fadar	Vater	Vater	Vater-3
379	134	FAULT	dulgis	Schuld	Schuld	Schuld-1
380	134	FAULT	fairina	Schuld;  Grund;  Vorwurf	Schuld	Schuld-2
381	1419	FEAR (BE AFRAID)	faurhtjan	sich fürchten	sich fürchten	sichfurchten-1
382	1201	FEATHER				
383	2037	FEBRUARY				
384	739	FEED				
385	2559	FEEL (TACTUALLY)				
386	1690	FENCE	faþa	Zaun	Zaun	Zaun-1
387	1534	FEVER	brinno	Fieber	Fieber	Fieber-1
388	1534	FEVER	heito	Fieber	Fieber	Fieber-2
389	1717	FIFTY				
390	2006	FILL	fula	Füllen	Füllen	Fullen-1
391	2006	FILL	fulljan	füllen	füllen	fullen-1
392	719	FIND	bi-gitan	finden	finden	finden-1
393	2157	FINE OR THIN				
394	1303	FINGER	figgrs	Finger	Finger	Finger-1
395	1258	FINGERNAIL				
396	1896	FINGERNAIL OR TOENAIL				
397	1766	FINISH				
398	1915	FIR				
399	221	FIRE	fon	Feuer	Feuer	Feuer-1
400	221	FIRE	funins, funin	Feuer	Feuer	Feuer-2
401	728	FIRST				
402	227	FISH	fisks	Fisch	Fisch	Fisch-1
403	2638	FISHING	fiskon	fischen	fischen	fischen-1
404	493	FIVE	fimf	fünf	fünf	funf-1
405	1633	FLAT	ibns	eben;  flach	 flach	flach-1
406	956	FLEE				
407	2939	FLOCK (OF ANIMALS)	hairda	Herde	Herde	Herde-1
408	2939	FLOCK (OF ANIMALS)	[wreþus]	Herde	Herde	Herde-2
409	2939	FLOCK (OF ANIMALS)	wriþus	Herde	Herde	Herde-3
410	1632	FLOOR				
411	2003	FLOW				
412	239	FLOWER	bloma*	Blume	Blume	Blume-1
413	1504	FLY (INSECT)				
414	1441	FLY (MOVE THROUGH AIR)				
415	1768	FOAM	ƕaþo	Schaum	Schaum	Schaum-1
416	249	FOG				
417	256	FOOD	fodeins	Nahrung	Nahrung	Nahrung-1
418	256	FOOD	usfodeins	Nahrung	Nahrung	Nahrung-2
419	256	FOOD	mats	Speise	Speise	Speise-1
420	1301	FOOT	fotus	Fuß	Fuß	Fu-1
421	318	FOOTPRINT	laists	Spur	Spur	Spur-1
422	418	FOR A LONG TIME				
423	123	FOREHEAD				
424	109	FOREIGN	framaþeis*	fremd;  einer Sache	fremd	fremd-1
425	420	FOREST				
426	1523	FORGET	ufar-miton	vergessen	vergessen	vergessen-1
427	1523	FORGET	ufar-munnon	vergessen	vergessen	vergessen-2
428	1302	FORK				
429	3004	FORMER				
430	1716	FORTY				
431	2912	FORWARD				
432	1500	FOUR	fidwor	vier	vier	vier-1
433	1312	FOX	fauho	Fuchs	Fuchs	Fuchs-1
434	1431	FREEZE				
435	243	FRESH				
436	1692	FRIDAY				
437	1325	FRIEND	frijonds	Freund	Freund	Freund-1
438	2989	FRINGE				
439	2927	FROM HERE				
440	2034	FROST	friusa	Frost	Frost	Frost-1
441	991	FRY				
442	1429	FULL				
443	580	FUR				
444	2467	GAME				
445	2948	GAP (DISTANCE)				
446	2940	GATE	daur	 Tor	 Tor	Tor-1
447	2940	GATE	daurons	 Tor;  Tür	 Tor	Tor-2
448	7	GATHER	huhjan	häufen;  sammeln	 sammeln	sammeln-1
449	7	GATHER	lisan	 sammeln; lesen	 sammeln	sammeln-2
450	1954	GENTLE	qairrus	sanft;  freundlich gegen	sanft	sanft-1
451	694	GET	andanem	das Empfangen	das Empfangen	dasEmpfangen-1
452	694	GET	niman	 fangen; nehmen;  annehmen;  aufnehmen;  empfangen	 empfangen	empfangen-1
453	694	GET	and-niman	annehmen;  aufnehmen;  empfangen	 empfangen	empfangen-2
454	694	GET	ga-staldan	erwerben;  bekommen	 bekommen	bekommen-1
455	1996	GET TIRED				
456	2982	GIFT	giba	Gabe;  Geschenk	 Geschenk	Geschenk-1
457	2982	GIFT	maiþms	Geschenk	Geschenk	Geschenk-2
458	1646	GIRL	mawi	Mädchen	Mädchen	Madchen-1
459	1646	GIRL	mawilo	Mädchen	Mädchen	Madchen-2
460	1447	GIVE	giban	geben	geben	geben-1
461	604	GLASS				
462	1069	GLUE				
463	695	GO				
464	1369	GOLD	gulþ	Gold	Gold	Gold-1
465	1035	GOOD	goþs	gut	gut	gut-1
466	1035	GOOD	sels	gut;  gütig	gut	gut-2
467	1035	GOOD	þiuþeigs	gut;  gepriesen	gut	gut-3
468	1035	GOOD	wáila	wohl;  gut	 gut	gut-4
469	2410	GOOD-LOOKING				
470	1187	GOOSE				
471	605	GRAIN	kaurn	Getreide	Getreide	Getreide-1
472	605	GRAIN	kaurno	Korn	Korn	Korn-1
473	1383	GRANDFATHER				
474	1496	GRANDMOTHER	awo	Großmutter	Großmutter	Gromutter-1
475	606	GRASS	gras	Gras;  Kraut	Gras	Gras-1
476	2819	GRASSLAND				
477	1773	GRAVE	hlaiw	Grab	Grab	Grab-1
478	1425	GREEN				
479	153	GREY				
480	1668	GRIEF	kara	Sorge	Sorge	Sorge-1
481	1668	GRIEF	saurga	Sorge;  Kummer	Sorge	Sorge-2
482	1668	GRIEF	saurga	Sorge;  Kummer	 Kummer	Kummer-1
483	716	GROAN				
484	2159	GROUND				
485	479	GROW	alan	wachsen	wachsen	wachsen-1
486	479	GROW	liudan	wachsen	wachsen	wachsen-2
487	479	GROW	wahsjan	wachsen	wachsen	wachsen-3
488	1940	GUARD	fastan	halten;  festhalten;  beobachten;  bewachen	 bewachen	bewachen-1
489	1940	GUARD	wahtwom	Wache	Wache	Wache-1
490	1782	GUEST				
491	1566	GUN				
492	1040	HAIR	tagl	Haar	Haar	Haar-1
493	816	HALF	halba	 Seite; Hälfte	Hälfte	Halfte-1
494	2880	HALT (STOP)				
495	1277	HAND	handus	Hand	Hand	Hand-1
496	1254	HANDLE				
497	2884	HANG	hāhan	hängen; hangen;  in der Schwebe lassen	hängen	hangen-1
498	357	HANG UP				
499	248	HAPPEN				
500	2941	HAPPINESS				
501	1884	HARD	hardus	hart;  streng	hart	hart-1
502	2926	HARDLY	halisaiw	kaum je;  kaum	 kaum	kaum-1
503	1190	HARE				
504	342	HAY	hawi	Heu	Heu	Heu-1
505	1211	HE	is M, si F, ita N	er;  der	er	er-1
506	1256	HEAD				
507	1364	HEALTHY	hails	heil;  gesund	 gesund	gesund-1
508	1364	HEALTHY	swinþs	stark;  gesund;  kräftig	 gesund	gesund-2
509	2984	HEAP				
510	1408	HEAR	hausjan	hören	hören	horen-1
511	1408	HEAR	hausjon	hören	hören	horen-2
512	1223	HEART	hairto	Herz	Herz	Herz-1
513	1223	HEART	hairþra	 Herz; Eingeweide	 Herz	Herz-2
514	612	HEAT				
